date,time,lower,upper
2009-07-14,1,0.639,0.957
2009-07-14,2,0.719,0.993
2009-07-14,3,0.548,0.838
2009-07-14,4,0.475,0.576
2009-07-14,5,0.444,0.546
2009-07-14,6,0.421,0.569
2009-07-14,7,0.284,0.515
2009-07-14,8,0.449,0.484
2009-07-14,9,0.269,0.565
2009-07-14,10,0.584,0.681
2009-07-14,11,0.798,0.883
2009-07-14,12,0.568,0.602
2009-07-14,13,0.346,0.855
2009-07-14,14,0.522,0.844
2009-07-14,15,0.803,1.882
2009-07-14,16,0.584,0.615
2009-07-14,17,0.649,0.95
2009-07-14,18,1.547,1.955
2009-07-14,19,0.523,2.494
2009-07-14,20,1.615,1.72
2009-07-14,21,0.669,0.899
2009-07-14,22,1.29,1.321
2009-07-14,23,1.592,1.945
2009-07-14,24,0.652,1.947
2009-07-15,1,0.492,0.618
2009-07-15,2,0.283,0.666
2009-07-15,3,0.542,0.591
2009-07-15,4,0.242,0.486
2009-07-15,5,0.216,0.571
2009-07-15,6,0.514,0.544
2009-07-15,7,0.235,0.531
2009-07-15,8,0.232,0.539
2009-07-15,9,0.485,0.964
2009-07-15,10,1.157,1.792
2009-07-15,11,1.578,1.678
2009-07-15,12,0.819,1.996
2009-07-15,13,0.667,0.706
2009-07-15,14,0.75,0.771
2009-07-15,15,0.377,0.651
2009-07-15,16,0.457,0.588
2009-07-15,17,0.579,0.599
2009-07-15,18,0.393,0.624
2009-07-15,19,0.577,0.62
2009-07-15,20,0.498,0.751
2009-07-15,21,0.882,2.525
2009-07-15,22,1.032,1.162
2009-07-15,23,0.751,1.03
2009-07-15,24,0.6,0.714
2009-07-16,1,0.654,0.823
2009-07-16,2,0.393,0.634
2009-07-16,3,0.292,0.478
2009-07-16,4,0.434,0.577
2009-07-16,5,0.346,0.479
2009-07-16,6,0.263,0.441
2009-07-16,7,0.396,0.46
2009-07-16,8,0.31,0.384
2009-07-16,9,0.273,0.493
2009-07-16,10,0.438,0.487
2009-07-16,11,0.605,1.222
2009-07-16,12,0.487,0.594
2009-07-16,13,0.324,0.687
2009-07-16,14,0.39,0.662
2009-07-16,15,0.712,0.84
2009-07-16,16,0.418,0.649
2009-07-16,17,0.596,0.65
2009-07-16,18,0.59,0.658
2009-07-16,19,0.513,0.769
2009-07-16,20,0.608,0.789
2009-07-16,21,0.832,0.866
2009-07-16,22,1.517,1.568
2009-07-16,23,0.588,0.733
2009-07-16,24,0.515,0.878
2009-07-17,1,0.799,0.826
2009-07-17,2,0.643,0.909
2009-07-17,3,0.282,0.631
2009-07-17,4,0.414,0.633
2009-07-17,5,0.253,0.481
2009-07-17,6,0.409,0.428
2009-07-17,7,0.325,0.397
2009-07-17,8,0.32,0.44
2009-07-17,9,0.466,0.506
2009-07-17,10,0.857,1.243
2009-07-17,11,0.442,0.594
2009-07-17,12,0.64,0.715
2009-07-17,13,0.687,0.813
2009-07-17,14,0.504,0.755
2009-07-17,15,0.602,0.627
2009-07-17,16,0.279,0.681
2009-07-17,17,0.571,0.586
2009-07-17,18,0.238,0.421
2009-07-17,19,0.38,0.461
2009-07-17,20,0.312,1.932
2009-07-17,21,0.696,1.286
2009-07-17,22,0.801,1.065
2009-07-17,23,0.396,0.428
2009-07-17,24,0.427,0.526
2009-07-18,1,0.222,0.45
2009-07-18,2,0.42,0.506
2009-07-18,3,0.276,0.517
2009-07-18,4,0.325,0.396
2009-07-18,5,0.478,0.552
2009-07-18,6,0.488,0.733
2009-07-18,7,0.279,0.611
2009-07-18,8,0.284,0.502
2009-07-18,9,0.292,0.564
2009-07-18,10,0.475,0.583
2009-07-18,11,0.24,0.584
2009-07-18,12,0.274,0.484
2009-07-18,13,0.553,0.569
2009-07-18,14,0.302,0.654
2009-07-18,15,0.348,0.556
2009-07-18,16,0.314,0.624
2009-07-18,17,0.55,0.626
2009-07-18,18,0.315,0.548
2009-07-18,19,0.281,0.625
2009-07-18,20,0.508,0.655
2009-07-18,21,0.362,0.619
2009-07-18,22,0.376,0.55
2009-07-18,23,1.012,1.117
2009-07-18,24,1.208,2.623
2009-07-19,1,0.829,1.299
2009-07-19,2,0.498,0.678
2009-07-19,3,0.659,0.778
2009-07-19,4,0.49,0.863
2009-07-19,5,0.508,0.824
2009-07-19,6,0.661,0.767
2009-07-19,7,0.475,0.505
2009-07-19,8,0.64,0.723
2009-07-19,9,0.388,0.717
2009-07-19,10,0.411,0.744
2009-07-19,11,0.353,0.668
2009-07-19,12,0.524,0.689
2009-07-19,13,0.36,0.519
2009-07-19,14,0.457,0.757
2009-07-19,15,0.624,0.723
2009-07-19,16,0.434,0.708
2009-07-19,17,0.504,0.636
2009-07-19,18,0.679,2.924
2009-07-19,19,0.504,2.026
2009-07-19,20,0.682,0.683
2009-07-19,21,0.475,0.698
2009-07-19,22,2.442,3.664
2009-07-19,23,0.976,4.294
2009-07-19,24,0.672,1.02
2009-07-20,1,0.413,0.73
2009-07-20,2,0.372,0.781
2009-07-20,3,0.422,0.759
2009-07-20,4,0.378,0.735
2009-07-20,5,0.577,0.624
2009-07-20,6,0.297,0.59
2009-07-20,7,0.186,0.598
2009-07-20,8,0.206,0.58
2009-07-20,9,0.539,2.002
